Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
24Mhz1,Crystal,Crystal_SMD_3225-4Pin_3.2x2.5mm,115.95,-74.075,0.0,top
C1,0.1µF,C_0603_1608Metric,114.0,-88.225,90.0,top
C2,0.1µF,C_0603_1608Metric,119.0,-87.0,90.0,top
C3,0.1µF,C_0603_1608Metric,117.225,-88.425,90.0,top
C4,0.1µF,C_0603_1608Metric,115.575,-88.425,90.0,top
C5,0.1µF,C_0603_1608Metric,120.725,-78.0,0.0,top
C6,0.1µF,C_0603_1608Metric,120.0,-84.0,90.0,top
C7,22pf,C_0603_1608Metric,113.0,-74.0,-90.0,top
C8,22pf,C_0603_1608Metric,120.0,-74.75,0.0,top
J1,USB_A,USB_A_Molex_105057_Vertical,94.13125,-62.6475,0.0,top
J2,USB_A,USB_A_Molex_105057_Vertical,88.84125,-79.9625,90.0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,88.77875,-96.04375,-90.0,top
J4,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,88.8325,-108.57375,-90.0,top
J5,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,119.465,-64.29375,90.0,top
R1,5.1k,C_0603_1608Metric,94.06875,-93.87625,180.0,top
R2,5.1k,C_0603_1608Metric,93.6625,-103.53875,-90.0,top
R3,5.1k,C_0603_1608Metric,93.6625,-97.9825,90.0,top
R4,5.1k,C_0603_1608Metric,94.45625,-110.70125,90.0,top
R5,10k,C_0603_1608Metric,120.65,-80.9625,90.0,top
R6,12k,C_0603_1608Metric,111.525,-77.0,0.0,top
R7,5.1k,C_0603_1608Metric,113.525,-66.675,90.0,top
R8,5.1k,C_0603_1608Metric,114.31875,-62.70625,0.0,top
U1,USB2514B_Bi,QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm,115.65,-81.75625,0.0,top
